First Name;Surname;Title;Hyperlink;image;Abstract;Language;Typography;Politics;Publishing;Memory;Technology;Identity;Archive;History;Add a new keyword;Add a new keyword;Add a new keyword
Armand;Demulder;Dialogue for “heterotopia”;https://kabk.github.io/go-theses-26-armand-demulder;asset/thumbnail/armand.jpg;This work explores the tension between skateboarding and the city. It examines how urban spaces are designed, experienced, regulated, reclaimed by skateboarders, and how cities and skateboarding engage in a dialogue to shape public space. ?Heterotopia?? The physical location of utopia that harbours the imagination. That is what the dialogue between skate and the city is today. Perhaps it also involves proposing new forms (whether skateable or not) for public space…;n;n;n;n;n;n;n;n;n;n;n;n
Panna;Drenkó;The World of the Instinctive Being;https://kabk.github.io/go-theses-26-panna-drenk;asset/thumbnail/panna.jpeg;;;n;n;n;n;n;n;n;n;n;n;n;n
Yin;Engelaan;COMMAND Z;https://kabk.github.io/go-theses-26-yin-engelaan;asset/thumbnail/yin.jpeg;Command Z explores how digital, mechanical, and manual methods of making shape the design experience, particularly in relation to time, decision-making, and errors. Through reproducing the same text across a laptop, typewriter, and letterpress, it examines how each medium affects pace, control, and the reversibility of actions. Drawing on theories by Franco Berardi and Walter Benjamin, it argues that tools fundamentally reshape the temporal structure of design work and reveal tensions between optimisation and acceptance in creative practice.;n;n;n;n;n;n;n;n;n;n;n;n
ViCi;Feger;Trust the MESS: A queer guide to failing fabulously;https://kabk.github.io/go-theses-26-victori-feger;asset/thumbnail/vici.jpeg;How can failure and non-mastery function as methods for knowledge production and connection in a society shaped by over-optimisation??Maybe the answer is already in the process. Less outcome. More trying. Repeating. Failing again.;n;n;n;n;n;n;n;n;n;n;n;n
Gio;Georgescu;Monsters, Plebs and Freaks at the Periphery;https://kabk.github.io/go-theses-26-gio-georgescu;asset/thumbnail/gio.jpeg;"Romania wants to be too much like the West, and the Boys will make that happen. They will buy the lands, they will build the churches, they will cut the woods, and they will launder the money. They will be elected mayor for 20 years in a row; they will be corrupt. This work examines Pipera, a peripheral district in northern Bucharest, where corporate modernity and balkanism converge. Drawing on phenomenology, self-colonisation, and monster theory—through the frameworks of Sara Ahmed, Maria Todorova, Alexander Kiossev, and Jeffrey Jerome Cohen—alongside auto-theory, the essay poetically contextualises and reframes Pipera’s transformation from village to Corporate Horror, positioning the Corporation™ as a contemporary monster. The work raises questions about what it means for a seemingly modern periphery to remain symbolically marginal while simultaneously producing new peripheries of its own. The writing moves fluidly between a poetic and an academic voice, while deliberately subverting conventional punctuation and academic writing norms as a way of hijacking concepts of sterility explored throughout the essay.";n;n;n;n;n;n;n;n;n;n;n;n
Dasha;Glushkova;Dear Art School;https://kabk.github.io/go-theses-26-dasha-glushkova;asset/thumbnail/dasha.jpg;;n;n;n;n;n;n;n;n;n;n;n;n
Pyotr;Goloub;choo choo;https://kabk.github.io/go-theses-26-pyotr-petrovich-goloub;asset/thumbnail/pyotr.jpeg;"first trains ""choo-choo"", now speak machines write essays. should we be concerned?";n;n;n;n;n;n;n;n;n;n;n;n
Jeremy;Holman;De Toko: Between Shelf and Street;https://kabk.github.io/go-theses-26-jeremy-holman;asset/thumbnail/jeremy.jpeg;A visual essay that questions what happens when the toko disappears, and how it creates belonging through everyday routines and encounters. Through personal memory and a recorded maternal interview, it reflects on what remains when culture moves beyond the places that once held it.;n;n;n;n;n;n;n;n;n;n;n;n
Olivia;Huynh;Synthetic Transcendence: To what extent can AI-generated images interpret a person’s emotional and spiritual experience of everyday life?;https://kabk.github.io/go-theses-26-olivia-huynh;asset/thumbnail/olivia.jpg;Synthetic Transcendence explores the extent to which AI-generated images can interpret a person’s emotional and spiritual experience of everyday life. In my practice, I utilize image-making in the form of photography and text-to-image generation to unravel the tension between ‘real’ and ‘fake’ images. Inspired by my Australian-Chinese upbringing in Singapore’s ‘expat bubble’, I aim to shed light on this less obvious culture and community that I grew up with. Through applications of Susan Sontag’s ‘The Aesthetics of Silence,’ John Berger’s ‘Ways of Seeing,’ Lev Manovich’s ‘AI Aesthetics’, and Masahiro Mori’s ‘Uncanny Valley,’ I examine how AI-generated images mystify and challenge our perception of reality. I comment on the intentions of my own image-making project, photographer Daniel Vaysberg’s work, and Midjourney's founder David Holz’s philosophy, exploring outcome fundamental theories of visual meaning in effect. This research exploration concludes that text-to-image generation is a cure for the desire to visually clarify mental concepts, that AI-generated images confront current assumptions about contemporary art, and that they can be harnessed as beacons to procure personally meaningful creations rather than a deceptive performance.;n;n;n;n;n;n;n;n;n;n;n;n
Andre;Kahveciyan;Part of the Dance;https://kabk.github.io/go-theses-26-andre-kahveciyan;asset/thumbnail/andre.jpg;;n;n;n;n;n;n;n;n;n;n;n;n
Jaehyun;Kim;Women–Poetry–Translation: Rewriting Feminist Voices across Text and Archive;https://kabk.github.io/go-theses-26-jaehyun-kim;asset/thumbnail/jaehyun.jpg;How do women’s voices travel across language, image, and history? This project moves through Korean feminist poetry and publication archives from the 1980s and 1990s, tracing how women’s lives have been written, visualised, and circulated. It brings translation and archival materials into conversation, not as separate domains, but as intertwined forms of feminist expression. By placing poems alongside images, it asks how feminist histories can be read differently — and how translation might open new ways of seeing what has not yet been fully visible.;n;n;n;n;n;n;n;n;n;n;n;n
Miron;Konurbaev;queer indie publishing manifesto: making a case for (making) queer zines;https://kabk.github.io/go-theses-26-miron-konurbaev;asset/thumbnail/miron.jpeg;this web-zine presents a glimpse into the world of queer independent publishing, namely self-published analogue zines. the research behind this text has sparked from the feeling of personal frustration with the corporate graphic design world, and is fuelled by the hope to find meaning and community within alternative publishing practices. queer indie publishing manifesto plays with the idea of individual vs. collective authorship by weaving together words of many people from the field.;n;n;n;n;n;n;n;n;n;n;n;n
Izabella;Lannin;The Seaside Towns That Forgot to Close Down;https://kabk.github.io/go-theses-26-izabella-lannin;asset/thumbnail/izzie.jpeg;"‘The Seaside Towns That Forgot to Close Down’ is a photographic project that draws on a narrative of visible decay and socio-economic struggle throughout English seaside towns; the project captures familiar seaside features such as piers, promenades or arcades, while drawing attention to signs of deterioration, manifested as rusted structures, fading facades, and rotting materials.";n;n;n;n;n;n;n;n;n;n;n;n
Nikolett;Madarász;The Place We Still Exist;https://kabk.github.io/go-theses-26-nikolett-madarasz;/asset/thumbnail/niki.jpg;;n;n;n;n;n;n;n;n;n;n;n;n
Frederico;Matos Pereira;The Designer as time bender;https://kabk.github.io/go-theses-26-frederico-pereira;asset/thumbnail/fred.jpg;In today’s world humans under capitalism work more than a person in Paleolithic era, a person could achieve a comfortable life working 15 hours a week that was 2,5 million years ago. Today we work twice as much, a question arises. Why do humans work so much? The more “advanced” our society is the more we seem to work. Our life in today’s society resolves around work, not only we spend the majority of our time working, everything we do with the rest of our time is to be able to be productive at work. The distinction between employers time and own time carries the structure that time it’s quantitative and can be divided into fragments, creating the perception that time is something that can be spent.;n;n;n;n;n;n;n;n;n;n;n;n
Jasper;Naus;The City as a Stage;https://kabk.github.io/go-theses-26-jasper-naus;asset/thumbnail/jasper.jpeg;What if we start seeing the city as a stage? That a red light, a crossing, a line can function as stage markings? What if people are not just passing by, but performing? Public space is usually understood as a functional environment designed to organise movement and behaviour. Roads for traffic, markings for order, getting from A to B. But I'd like to invite you to see that differently. Where road markings, crossings, traffic lights, and unwritten social conventions form spatial scripts that direct how people move, wait, and adjust to one another. This visual essay asks: how can framing high-traffic public spaces through the camera transform everyday movement into choreography?;n;n;n;n;n;n;n;n;n;n;n;n
Omid;Nemalhabib;Struggling Writing: A Cosmological Practice;https://kabk.github.io/go-theses-26-omid-nemalhabib;asset/thumbnail/omid.jpeg;Struggling Writing investigates writing as a material, performative, and temporal practice that resists transparency, asking what becomes possible when writing becomes unstable, resistant, and materially present rather than functioning as a neutral tool. Drawing on Siyahmashq (dense Persian calligraphic practice), Adorno's essay as form, Henry Corbin's imaginal realm, and Federico Campagna's prophetic world-making, the research treats illegibility, hesitation, and breakdown as productive conditions explored through hand-drawing, creative coding, type design, and typographic system-building. This text articulates the conceptual, theoretical, and methodological framework of an ongoing practice-led research project, while the final work takes two forms in conversation: a printed visual essay and a web-based typographic environment, both using typefaces designed during the research. The work translates written arguments into typographic conditions where meaning redistributes across rhythm and density, and the struggle of writing becomes perceptible as material encounter.;n;n;n;n;n;n;n;n;n;n;n;n
Zoë;Ng Gschmaiss;Fragments of Home;https://kabk.github.io/go-theses-26-zoe-ng-gschmaiss;asset/thumbnail/zoe.jpeg;When the idea of home becomes an invisible, intimate realm, no longer tied to a structural or geographical location, the objects we collect along our way, made, created, and taken, become a way for us to fold up and pocket our metaphorical homes. Our spiritual home—the one that lives within our minds, or rather, our body. Through playing with the idea of living within our memories and experiences, we find different ways to enter the home, thus questioning what it means to be at home, or what home can be when living in a world of metaphor.;n;n;n;n;n;n;n;n;n;n;n;n
Méabh;O'Halloran;Unclaiming all bad energy! Claiming good energy. Claim x 4. Claim with good energy only!;https://kabk.github.io/go-theses-26-meabh-ohalloran;asset/thumbnail/meabh.jpeg;This essay explores the relationship between social media algorithms and folklore, arguing that contemporary digital platforms function as a modern form of myth-making. While folklore once spread through oral storytelling and later through images and print, belief today circulates through algorithmic repetition and personalised media environments. Using the example of the 1934 “Surgeon ’ s Photograph” of the Loch Ness Monster alongside contemporary experiences of algorithmically driven content, the essay examines how repetition, emotional response, and the illusion of meaning transform coincidence into belief. Drawing on media theorists such as Marshall McLuhan, Vincent Mosco, Valentina Tanni and Tommaso Venturini, the essay situates social media within a longer history of technological media reshaping how truth is produced and experienced. Particular attention is given to the concept of the digital sublime, in which algorithms are experienced not simply as tools but as powerful and mysterious systems that appear to reflect and shape reality itself. Through a combination of TikTok comments, theoretical analysis and personal reflection, the essay argues that in an era of information overload and emotional media, superstition has not disappeared but has instead evolved into a new form of digital folklore sustained by algorithmic culture.;n;n;n;n;n;n;n;n;n;n;n;n
Vlad;Omelianenko;Carrying the Force of a Poem;https://kabk.github.io/go-theses-26-vlad-omelianenko;asset/thumbnail/vlad.jpeg;I am drawn to writing that resists a single forward line and instead moves through interruption, repetition, tonal shift, juxtaposition, and return. What interests me is how these formal qualities can be carried beyond the text itself: how layout can support the movement of a poem on the page, how publishing can shape the conditions under which it is met, and how circulation can help create stronger and wider connections between poetry and its readers.;n;n;n;n;n;n;n;n;n;n;n;n
Klaudia;Orczykowska;Reality Surf;https://kabk.github.io/go-theses-26-klaudia-orczykowska;asset/thumbnail/klaudia.jpeg;omg...😳   she...SHIFTED 😭😭😭 Click here to read a successful reality shifting story.👇✅;n;n;n;n;n;n;n;n;n;n;n;n
Junghyeok;Park;Reading through Traces;https://kabk.github.io/go-theses-26-junghyeok-park;asset/thumbnail/junghyeok.jpeg;This essay explores how traces left in paper books, such as underlines, folds, pressure marks, and attached fragments, can function not as secondary additions to text but as primary elements that structure how reading takes place. The project began from my personal experience as a Korean student reading in a second language and developed through three operations: marking, transforming, and accumulating. Rather than being described from a distance, these operations are presented through the format of a visual essay, where sentences are not followed as continuous text but reached by following marks, opening folds, and moving across layered p;n;n;n;n;n;n;n;n;n;n;n;n
Alex;Rainer;A polished System and its remains;https://kabk.github.io/go-theses-26-alex-rainer;asset/thumbnail/alex.jpg;;n;n;n;n;n;n;n;n;n;n;n;n
Maja;Usak;Who is Dreaming of Whom?;https://kabk.github.io/go-theses-26-maja-usak;asset/thumbnail/maja.jpeg;This essay exists as a séance. As an act of forming a memory of the unfamiliar, and an exploration of presence — how it finds a way to reveal itself without its author, storyteller or original context. The process of printing, scanning, framing, zooming in, taking apart and putting together again. In itself, as much a tool as an emerging method of storytelling. Creating a coherent narrative that sequentially finds its way through scattered dishes, ghostly embraces and posed rows of glaring eyes, planting a feeling of familiarity in the unfamiliar.;n;n;n;n;n;n;n;n;n;n;n;n
Simcha;van der Veen;Negotiating the Grid;https://kabk.github.io/go-theses-26-simcha-vanderveen;asset/thumbnail/simcha.jpeg;This research explores how pre-defined structures, particularly grids, influence image-making and authorship. Instead of starting from a blank surface, it investigates what happens when creation begins within an existing framework. Through experiments, workshops, and artist dialogues, it examines how grids shape decisions, repetition, and variation. The project reveals authorship as a shared process, where creative agency emerges through interaction between maker and structure rather than individual control.;n;n;n;n;n;n;n;n;n;n;n;n
Suzie;Veldhuijzen;I don't seem to care enough about sourdough to stand in line.;https://kabk.github.io/go-theses-26-suzie-veldhuijzen;asset/thumbnail/suzie.jpeg;This research explores how gentrification in The Hague is transforming craft culture, shifting it from an inclusive practice into a more commercial and identity-driven phenomenon associated with the “Havermelkelite.” Through fieldwork and theory, it examines the tension between authentic and performative craft in contemporary urban spaces.;n;n;n;n;n;n;n;n;n;n;n;n
Guro;Werlander;A Thousand Cuts;https://kabk.github.io/go-theses-26-guro-sampson-welander;/asset/thumbnail/guro.jpeg;;n;n;n;n;n;n;n;n;n;n;n;n
Anna Silva;Zeller;>log.;https://kabk.github.io/go-theses-26-anna-silva-zeller;asset/thumbnail/silva.jpeg;This paper understands itself as an exhausted sigh in the long-known, holding what’s uncomfortable to see. Out of a desire for more caring ways of being, I collect and gradually combine moments of interaction between us and our non human kin.;n;n;n;n;n;n;n;n;n;n;n;n
Stanisław;Zieliński;Writing With Numbers;https://kabk.github.io/go-theses-26-stanislaw-zieIinski;asset/thumbnail/stan.jpg;What does it mean to write and read numbers? I try to encourage a more associative way of looking at graphic design, reminding the importance of borrowing, tracing and re-contextualising forms in the field of typography.;n;n;n;n;n;n;n;n;n;n;n;n
