First Name,Surname,Title,Hyperlink,Image, Abstract, Letters, Wood, Plastic, Paper, Glass, Lithium, Copper, Silver, Gold
Zoe,Papadopoulos,Alphabet Soup,https://zoepapadopoulos.gr,asset/img_26.png,"I was five years old when I first understood that Greek and Latin letters were cousins who had stopped speaking. This thesis is a personal and typographic history of the moment children encounter a second alphabet.",n,n,n,y,n,n,y,y,n
Finn,O'Brien,Propaganda Geometry,https://finnobriendesign.ie,asset/img_27.png,"The triangle points. The fist rises. The sun radiates. Political graphics share a remarkably small vocabulary of shapes. I catalog and analyze the geometric grammar of persuasion across movements that otherwise had nothing in common.",y,n,n,n,y,y,n,n,n
Valentina,Cruz,The Folded Page,https://valentinacruz.mx,asset/img_28.png,"Before the accordion book, the leporello, and the zine, there was just a piece of paper someone folded. I trace the phenomenology of the fold as a design act—the way it creates sequence, reveals and conceals, and turns surface into space.",n,y,n,y,n,n,n,y,n
Lars,Petersen,Sans-Serif Century,https://larspetersen.dk,asset/img_29.png,"The twentieth century chose the sans-serif and never looked back. Or did it? This thesis examines the persistent return of serif typography in modernist graphic design—the footnote that keeps refusing to disappear.",y,n,n,y,n,n,y,n,y
Mei-Lin,Chen,Catalogue of Distances,https://meilinchen.tw,asset/img_30.png,"I collected every distance printed on a road sign within a ten kilometer radius of my childhood home in Taichung. The resulting dataset became a meditation on measurement, place, and the arbitrary precision of wayfinding.",n,n,y,n,n,y,n,y,n
Dmitri,Volkov,The Poster Sleeps,https://dmitrivolkov.ru,asset/img_31.jpg,"What happens to a poster at three in the morning when nobody is looking? I spent forty nights photographing the same wall in Moscow at regular intervals, building an archive of presence and absence as a study in graphic temporality.",y,y,n,n,y,n,n,n,y
Isabelle,Dubois,Against Clarity,https://isabelledubois.fr,asset/img_32.png,"Clarity is not a neutral value. This thesis questions the modernist ideal of transparent communication, arguing that obscurity, ambiguity, and difficulty have been essential to graphic practice—and that their elimination is a political act.",n,n,n,y,n,n,y,n,y
Kwame,Asante,The Stamp Speaks,https://kwameasante.gh,asset/img_33.png,"Postage stamps are the smallest official graphic objects a state produces. I read them as condensed ideologies—compressed landscapes, portraits, and symbols that tell the story of what a government wants to be remembered for.",y,n,y,n,n,n,n,y,n
Sara,Magnusson,Handwriting in Crisis,https://saramagnusson.se,asset/img_34.png,"Cursive is disappearing from school curricula across Europe. I document the last generation of children taught to write by hand in three countries, asking what is lost when the body's relationship to the letter is severed.",y,y,n,y,n,n,n,n,y
Pablo,Morales,Neon and Shadow,https://pablomorales.es,asset/img_35.png,"The neon sign is a dying medium. I spent a year photographing working neon installations across Spain before their owners replaced them with LED panels, building an archive of a light technology that made cities illegible in the best possible way.",n,n,y,n,y,n,y,n,n
Astrid,Haugen,Topography of Care,https://astridhaugen.no,asset/img_36.png,"Hospital wayfinding systems are designed for panic. I redesign them for calm—rethinking color-coding, icon families, and floor numbering systems based on interviews with patients, visitors, and cleaning staff who actually navigate them.",n,y,n,y,n,y,n,n,n
Ibrahim,Al-Hassan,The Script That Refused,https://ibrahimalhassan.sd,asset/img_37.png,"Arabic script was declared incompatible with the printing press, the typewriter, and the personal computer—and survived all three. This thesis follows the engineers, calligraphers, and activists who refused each incompatibility verdict.",y,n,n,y,y,n,n,y,n
Cecilia,Bianchi,Colour of Money,https://ceciliabianchi.it,asset/img_38.png,"Currency design is the most constrained and most consequential graphic design there is. I analyze the visual evolution of the Euro banknote series across three decades, reading its bridges and windows as documents of political imagination.",n,n,y,n,n,n,y,y,n
Nikolai,Strand,The Sheet Before Printing,https://nikolaistrand.no,asset/img_39.jpg,"Paper is already designed before anything is printed on it. This thesis investigates the prehistory of the printed page—watermarks, chain lines, laid patterns—as graphic information that precedes and outlasts the press.",n,y,y,n,n,y,n,n,y
